start,end,years,final,total_return,cagr,max_drawdown,drawdown_duration_weeks,volatility,downside_volatility,sharpe,sortino,calmar,worst_week,best_week,worst_month,best_month,worst_year,best_year,switches,switches_per_year,total_cost,exposure_btc,exposure_gold,exposure_sp500,exposure_cash,label,variant,lookback,raw_mode,entries,switches_ex_initial,taxable_sells,swap_costs,taxes_paid,zainetto_remaining,zainetto_created,zainetto_used,zainetto_expired,final_net,final_asset,final_liquidation_tax,timing,strategy_label,family,gross_final,gross_cagr,gross_sharpe
2018-01-05,2026-05-28,8.39151266255989,169308.254257075,18.496568023496806,0.4246945691227708,-0.4468691410044614,149,0.42579209761867265,0.25881243347922406,1.0341005420766336,1.701277767224278,0.9503779298077125,-0.21382010705827414,0.3476575969308138,-0.28853083450209605,0.5836649244888348,-0.3022311770184215,2.198875384288747,62,7.3884176182707995,10648.305883109499,0.45785876993166286,0.2824601366742597,0.2164009111617312,0.04328018223234624,venerdi open / Buffer 5pp 5w,buffer_5pp,5,apex,1,61,62,10648.3058831095,59714.46707628104,0.0,61318.12195636757,61318.12195636757,0.0,169308.254257075,BTC,1904.8988605499594,venerdi open,Buffer 5pp 5w,buffer,373547.7008314326,0.5394776110019328,1.2285298209089353
2018-01-02,2026-05-26,8.394250513347023,160665.4268335586,15.485212655067638,0.3963408709601235,-0.6078949424301303,137,0.4601942713701725,0.2918575950319862,0.9453133962806569,1.4905481886471483,0.6519890910355415,-0.249300049790123,0.36762388156124337,-0.2922752474688688,0.83439743486818,-0.5896238995583495,2.069661390051585,63,7.50513698630137,9078.714922310817,0.44874715261959,0.30068337129840544,0.2072892938496583,0.04328018223234624,martedi close / Buffer 3pp 6w,buffer_3pp,6,apex,1,62,63,9078.714922310815,56126.320076386546,0.0,57554.74032896763,57554.74032896763,0.0,160665.4268335586,BTC,2873.3681704891496,martedi close,Buffer 3pp 6w,buffer,355677.5986216448,0.5302981640840554,1.154716308230233
2018-01-02,2026-05-26,8.394250513347023,152818.60042158075,11.705582561241988,0.3536860256280743,-0.5147379989629596,119,0.4415063042623725,0.28951519525235914,0.8989899260428821,1.3709460723480356,0.6871185464073839,-0.21288678759734903,0.26675233789130326,-0.3673350685188115,0.6977005041028954,-0.46948213117308024,1.6524750778914474,47,5.599070450097847,6791.524168651288,0.4419134396355353,0.27790432801822323,0.20956719817767655,0.07061503416856492,lunedi open / Buffer 5pp 8w,buffer_5pp,8,apex,1,46,47,6791.524168651288,52565.71945062206,0.0,50734.822598648556,50734.822598648556,0.0,152818.60042158075,BTC,2123.6368738009164,lunedi open,Buffer 5pp 8w,buffer,320988.5019496104,0.5117042135361571,1.155937818723322
2018-01-02,2026-05-26,8.394250513347023,145501.86137085102,13.929342134643012,0.3799472240815056,-0.49757728509449184,103,0.4575740864866348,0.28915146135262043,0.9222699292322318,1.4594663239411891,0.7635943911896061,-0.249300049790123,0.36762388156124337,-0.3082030523781347,0.8343974348681802,-0.44851320463652267,1.5714084546771447,108,12.865949119373775,15249.220161803798,0.44646924829157175,0.27790432801822323,0.21184510250569477,0.06378132118451026,martedi close / Pure Relative 7w,pure_relative,7,pure_relative,1,107,108,15249.2201618038,52966.59621417601,0.0,58438.09821282733,58438.09821282733,0.0,145501.86137085102,SP500,894.5908010185516,martedi close,Pure Relative 7w,pure,333594.50806136924,0.5186573097278067,1.145051624982441
2018-01-02,2026-05-26,8.394250513347023,145336.3406099814,11.083495527865955,0.34561460458576887,-0.5336259529026616,119,0.45272755039579776,0.32424463446523544,0.8773906715011548,1.2250593756284056,0.647672030765738,-0.27237407146489434,0.266188297280634,-0.5144692418871616,0.6977005041028954,-0.4873662665785711,1.5488458138169259,44,5.241682974559686,6310.995687537884,0.44419134396355353,0.27790432801822323,0.214123006833713,0.06378132118451026,lunedi open / Buffer 5pp 11w,buffer_5pp,11,apex,1,43,44,6310.995687537884,50370.765159425064,1715.6106946905202,48545.80037906185,46830.18968437133,0.0,145336.3406099814,BTC,0.0,lunedi open,Buffer 5pp 11w,buffer,293208.5245696673,0.4954899983247938,1.1201638051844878
2018-01-03,2026-05-27,8.394250513347023,142611.3971426285,13.524622967006456,0.3754365948497984,-0.6057338414234503,137,0.4596653404409817,0.2903645569256113,0.9128023501966159,1.445023481863694,0.6198045563502568,-0.24719692900486478,0.3641144467051938,-0.2848565808757956,0.8280630520974248,-0.5835069507039277,1.996282941168516,74,8.815557729941291,9049.401553999343,0.4510250569476082,0.2847380410022779,0.214123006833713,0.05011389521640091,mercoledi open / Buffer 2pp 6w,buffer_2pp,6,apex,1,73,74,9049.401553999343,49772.71305557195,0.0,49311.342409848854,49311.342409848854,0.0,142611.3971426285,BTC,2566.2120123510285,mercoledi open,Buffer 2pp 6w,buffer,304400.1517472162,0.5021784882092655,1.115382363507232
2018-01-03,2026-05-27,8.394250513347023,142259.66967239842,13.488800382033661,0.375032034855878,-0.6174228529030263,137,0.4599965684170962,0.29177313871783817,0.9118266620510597,1.4375454072909815,0.6074152148605054,-0.24719692900486478,0.3641144467051938,-0.2835246449058473,0.828063052097425,-0.5958549342386094,1.830034433213989,65,7.7433953033268095,7678.55897477574,0.4419134396355353,0.2847380410022779,0.22095671981776766,0.05239179954441914,mercoledi open / Buffer 3pp 6w,buffer_3pp,6,apex,1,64,65,7678.5589747757385,49167.48574089903,0.0,49512.41869899115,49512.41869899115,0.0,142259.66967239842,BTC,2559.8828740264494,mercoledi open,Buffer 3pp 6w,buffer,302618.1493887381,0.5011281589331353,1.112921378693507
2018-01-02,2026-05-26,8.394250513347023,142101.95364353474,10.814583428659281,0.34201170316478446,-0.6436922095821215,117,0.45938427352245786,0.30320269051977317,0.8629352061520719,1.3074384732389759,0.5313280137207425,-0.21288678759734903,0.26675233789130326,-0.3673350685188115,0.6977005041028954,-0.6213750658487244,1.8758218344397766,90,10.721624266144813,11909.627789186274,0.49658314350797267,0.26879271070615035,0.1776765375854214,0.05694760820045558,lunedi open / APEX 8w,apex_rev2,8,apex,1,89,90,11909.627789186272,50598.663746631704,0.0,64520.72601269553,64520.72601269553,0.0,142101.95364353474,BTC,3704.7838152055483,lunedi open,APEX 8w,apex,311855.78983837494,0.5065150007718964,1.1193888310267106
2018-01-02,2026-05-26,8.394250513347023,140066.3230576436,10.645337849901994,0.33970692308346817,-0.6538675864885437,107,0.4515375057649189,0.2989486384143832,0.8664329628469541,1.3086762362641335,0.5195347347125612,-0.21288678759734903,0.26675233789130326,-0.3673350685188115,0.6977005041028954,-0.6321877719269162,1.8471445507156399,64,7.624266144814089,7255.620287120963,0.4715261958997722,0.296127562642369,0.18906605922551253,0.04328018223234624,lunedi open / Buffer 2pp 8w,buffer_2pp,8,apex,1,63,64,7255.620287120965,48248.25036437674,0.0,48590.16098347733,48590.16098347733,0.0,140066.3230576436,BTC,3250.171087241773,lunedi open,Buffer 2pp 8w,buffer,295606.9383547552,0.49694207532980816,1.1168612775264628
2018-01-02,2026-05-26,8.394250513347023,139407.70009368265,11.553810299453144,0.35174947030265113,-0.5405713774414959,112,0.45476441107881554,0.2792417147313112,0.8772581494575464,1.4286754616373194,0.6506993987870172,-0.20407574013347762,0.37902011777834477,-0.3156698986412442,0.6466947910287146,-0.5369011588650214,1.9479193807343456,67,7.98165362035225,7479.037149154882,0.44646924829157175,0.25740318906605925,0.23006833712984054,0.06605922551252848,martedi open / Buffer 5pp 5w,buffer_5pp,5,apex,1,66,67,7479.037149154883,48095.34011234832,0.0,64465.153252444914,64465.153252444914,0.0,139407.70009368265,BTC,718.5612425022672,martedi open,Buffer 5pp 5w,buffer,294489.6372772158,0.49626692147621054,1.112659430135882
